trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
400,False,"{'a': 0.5, 'e': 0.010796117058267614}",25,12,22.585365946755935,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.00689627213092087}",25,3,23.208816895394207,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 0.00689627213092087}",25,11,29.698728241116548,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0.00689627213092087}",25,13,28.070845132900217,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 0.00689627213092087}",30,21,17.18289841748091,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 0.00689627213092087}",30,9,37.49112531403804,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0.00689627213092087}",20,1,33.0821743140245,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 0.00689627213092087}",20,3,25.601839606167033,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': 0.00689627213092087}",20,8,25.36639031706114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': 0.00689627213092087}",25,18,15.284676156983153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0.00689627213092087}",20,8,23.66277985777855,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0.00689627213092087}",25,11,29.0873802852811,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
